"","symbol","date","open","high","low","close","volume","adjusted"
"1","AAPL",2011-01-03,46.55714,47.18,46.405212,47.081429,111280407,44.888817
"2","AAPL",2011-01-04,47.5,47.5,46.878571,47.327141,77337001,45.123085
"3","AAPL",2011-01-05,47.078571,47.762856,47.071426,47.714287,63879193,45.492203
"4","AAPL",2011-01-06,47.857143,47.892857,47.55714,47.675713,75106626,45.455418
"5","AAPL",2011-01-07,47.731426,48.049999,47.414284,48.017143,77982212,45.780941
"6","AAPL",2011-01-10,48.404285,49.032856,48.167141,48.922142,112139482,46.643799
"7","AAPL",2011-01-11,49.278572,49.279999,48.495712,48.805714,111019993,46.532795
"8","AAPL",2011-01-12,49.061428,49.204285,48.857143,49.202858,75644310,46.911461
"9","AAPL",2011-01-13,49.330002,49.52,49.121429,49.382858,74536182,47.083065
"10","AAPL",2011-01-14,49.419998,49.782856,49.205715,49.782856,77209748,47.464439
"11","AAPL",2011-01-18,46.721428,49.251785,46.571426,48.664284,470246700,46.397949
"12","AAPL",2011-01-19,49.797142,49.799999,48.125713,48.405712,283902199,46.151432
"13","AAPL",2011-01-20,48.025715,48.328571,47.16,47.525715,191197293,45.312405
"14","AAPL",2011-01-21,47.681427,47.84,46.661427,46.674286,188599712,44.500629
"15","AAPL",2011-01-24,46.722858,48.207142,46.674286,48.207142,143670548,45.962109
"16","AAPL",2011-01-25,48.058571,48.777142,47.795715,48.771427,136716650,46.500111
"17","AAPL",2011-01-26,48.985714,49.371429,48.785713,49.121429,126716779,46.833797
"18","AAPL",2011-01-27,49.128571,49.241829,48.975857,49.029999,71255961,46.746635
"19","AAPL",2011-01-28,49.189999,49.200001,47.646858,48.014286,148014146,45.778233
"20","AAPL",2011-01-31,47.971428,48.577141,47.757141,48.474285,94193470,46.216805
"21","AAPL",2011-02-01,48.791428,49.378571,48.71143,49.290001,106657943,46.994534
"22","AAPL",2011-02-02,49.207142,49.321426,49.078571,49.188572,64738807,46.89782
"23","AAPL",2011-02-03,49.114285,49.177143,48.364285,49.062859,98449148,46.777962
"24","AAPL",2011-02-04,49.10857,49.528572,49.072857,49.5,80459575,47.194752
"25","AAPL",2011-02-07,49.714287,50.464287,49.662857,50.26857,121254910,47.927525
"26","AAPL",2011-02-08,50.502857,50.78857,50.30714,50.742859,95259906,48.37973
"27","AAPL",2011-02-09,50.741428,51.285713,50.695713,51.165714,120686090,48.782879
"28","AAPL",2011-02-10,51.117142,51.42857,49.714287,50.648571,232137360,48.289825
"29","AAPL",2011-02-11,50.691429,51.114285,50.50573,50.978573,91892948,48.604446
"30","AAPL",2011-02-14,50.970001,51.354286,50.958572,51.311428,77603491,48.921818
"31","AAPL",2011-02-15,51.315716,51.424286,51.078571,51.414284,71043441,49.019882
"32","AAPL",2011-02-16,51.502857,52.128571,51.5,51.875713,120288833,49.459812
"33","AAPL",2011-02-17,51.022858,51.46714,50.931427,51.185715,132643504,48.801956
"34","AAPL",2011-02-18,51.185715,51.357143,49.931427,50.080002,204011724,47.747723
"35","AAPL",2011-02-22,48.878571,49.342857,48.245712,48.372856,218135561,46.120102
"36","AAPL",2011-02-23,48.378571,49.234283,48.372856,48.945713,167962942,46.666286
"37","AAPL",2011-02-24,49.147141,49.30714,48.33857,48.982857,124974514,46.701687
"38","AAPL",2011-02-25,49.322857,49.775715,49.257141,49.737141,95004483,47.420834
"39","AAPL",2011-02-28,50.167141,50.721428,50.16,50.458572,100768479,48.108692
"40","AAPL",2011-03-01,50.752857,50.817142,49.668713,49.901428,114032163,47.577488
"41","AAPL",2011-03-02,49.991428,50.621429,49.771427,50.302856,150647189,47.96022
"42","AAPL",2011-03-03,51.062859,51.398571,50.845715,51.365715,125196764,48.973576
"43","AAPL",2011-03-04,51.42857,51.470001,51.107143,51.42857,113316483,49.033516
"44","AAPL",2011-03-07,51.657143,51.667141,50.187141,50.765713,136530149,48.401508
"45","AAPL",2011-03-08,50.684284,51.05714,50.321426,50.822857,89078955,48.455994
"46","AAPL",2011-03-09,50.669998,50.68,50.085712,50.352856,113349033,48.007889
